Region Code,Local Authority,Pupils whose first language is English(8),Pupils whose first language is other than English(9),All pupils(10),Pupils known to be eligible for free school meals,All other pupils(8),All pupils,Disadvantaged pupils(1),All other pupils(9),All pupils,Pupils with no identified SEN,SEN support,SEN with a statement or EHC plan,All pupils(9),Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil3,Percentage of pupils entered for components,Percentage of pupils who achieved a strong 9-5 pass5,Percentage of pupils who achieved a standard 9-4 pass 5,Overall absence,Percentage of persistent absentees
E09000003,Barnet,2171,1355,3528,476,3052,3528,1047,2481,3528,3056,350,121,3528,3528,54.7,96.8,60.3,77.8,4.5,9.4
E09000004,Bexley,2771,363,3141,278,2863,3141,695,2446,3141,2621,422,97,3141,3141,49,97.7,49.9,67.6,4.2,9
E09000005,Brent,1178,1678,2908,387,2521,2908,914,1994,2908,2617,188,102,2908,2908,49,96.8,49.8,67.4,4.5,10
E09000006,Bromley,2845,288,3258,212,3046,3258,612,2646,3258,2736,272,127,3258,3258,49.8,95.9,47.6,70.7,4.2,9.5
E09000008,Croydon,2570,912,3579,588,2991,3579,1243,2336,3579,2917,446,121,3579,3579,45,95.4,40.6,60.9,4.5,10.5
E09000009,Ealing,1081,1640,2722,428,2294,2722,956,1766,2722,2265,357,99,2722,2722,48.7,97.1,50.7,70.5,4.5,9.7
E09000010,Enfield,1843,1628,3487,543,2944,3487,1381,2106,3487,3032,352,102,3487,3487,46.2,97.2,42.6,61.6,4.8,11.8
E09000011,Greenwich,1312,846,2166,350,1816,2166,907,1259,2166,1885,195,84,2166,2166,45.9,97.5,41.6,62.7,4.2,9.4
E09000015,Harrow,798,1251,2049,242,1807,2049,605,1444,2049,1739,236,74,2049,2049,49.7,98.1,50,70.2,4.3,8.9
E09000016,Havering,2511,281,2794,261,2533,2794,628,2166,2794,2605,107,82,2794,2794,47.5,97.9,46.6,68.3,4.7,11.1
E09000017,Hillingdon,1826,1248,3075,397,2678,3075,881,2194,3075,2634,327,113,3075,3075,47.1,96.7,45.3,66.8,4.7,11
E09000018,Hounslow,1204,1324,2641,340,2301,2641,853,1788,2641,2102,348,78,2641,2641,48,92.7,46.7,68.5,4.4,9.1
E09000021,Kingston upon Thames,1066,451,1517,114,1403,1517,282,1235,1517,1371,92,54,1517,1517,55.5,96.3,61.3,78.2,4.1,8.1
E09000024,Merton,904,515,1420,228,1192,1420,429,991,1420,1155,187,77,1420,1420,50.2,96.3,49.2,69.7,4.2,8.9
E09000026,Redbridge,1507,1949,3458,639,2819,3458,1007,2451,3458,2908,437,113,3458,3458,51.2,97.9,55.8,73.2,4.9,11.1
E09000027,Richmond upon Thames,1088,284,1374,130,1244,1374,291,1083,1374,1120,168,85,1374,1374,52.7,97.2,57.7,76.1,4,7.4
E09000029,Sutton,2199,558,2759,268,2491,2759,510,2249,2759,2482,184,91,2759,2759,56.2,98.4,61.3,78,4.3,9.4
E09000031,Waltham Forest,1297,1187,2486,411,2075,2486,1060,1426,2486,1907,468,111,2486,2486,45.5,96.7,41.4,63.1,4.8,11.5
,,,,,,,,,,,,,,,,,,,,,
E12000008,South East,74970,8772,83903,7304,76599,83903,16936,66967,83903,71901,8706,3189,83903,83903,47.4,96.6,45.8,66.5,4.5,10.2
E06000036,Bracknell Forest,1012,105,1119,69,1050,1119,195,924,1119,980,100,38,1119,1119,46.3,98.2,43.2,64.5,3.9,8.4
E06000043,Brighton and Hove,1970,227,2197,267,1930,2197,562,1635,2197,1695,402,100,2197,2197,46.8,96.1,47.2,67.6,4.9,11.2
E10000002,Buckinghamshire,4707,886,5599,296,5303,5599,765,4834,5599,4895,467,236,5599,5599,52.9,93.6,56.2,72.3,4.7,10.9
E10000011,East Sussex,4550,257,4812,558,4254,4812,1147,3665,4812,4221,367,221,4812,4812,45.3,97.2,38.4,61.6,5.1,12.4
E10000014,Hampshire,12100,632,12740,960,11780,12740,2241,10499,12740,11161,1151,423,12740,12740,47,97.4,45.5,68.3,4.2,8.7
E06000046,Isle of Wight,1218,31,1251,135,1116,1251,322,929,1251,992,205,54,1251,1251,40.1,96.3,32.6,54.8,4.8,11.7
E10000016,Kent,14143,1204,15407,1590,13817,15407,3444,11963,15407,13576,1191,583,15407,15407,46.3,95.2,42.3,61.9,4.7,11.3
E06000035,Medway,2627,276,2910,297,2613,2910,723,2187,2910,2394,403,110,2910,2910,45.7,97.6,41.1,60,4.8,11.8
E06000042,Milton Keynes,2266,574,2841,344,2497,2841,774,2067,2841,2438,288,114,2841,2841,44.9,97.5,40.8,62.6,4.5,10.4
E10000025,Oxfordshire,5294,644,5945,413,5532,5945,1044,4901,5945,5092,682,168,5945,5945,47.6,97.3,48.1,68.2,4.6,10.4
E06000044,Portsmouth,1414,213,1627,294,1333,1627,639,988,1627,1346,201,80,1627,1627,42.3,95.5,37.2,58.4,5.1,12.8
E06000038,Reading,852,280,1134,145,989,1134,300,834,1134,975,109,50,1134,1134,49.6,97.8,49.8,65.3,4.6,10.7
E06000039,Slough,874,774,1648,157,1491,1648,430,1218,1648,1423,171,54,1648,1648,52.2,97.6,56.1,73.4,4.4,9
E06000045,Southampton,1441,403,1845,300,1545,1845,645,1200,1845,1468,310,66,1845,1845,44.2,97.1,34.1,57.9,4.8,10.8
E10000030,Surrey,8989,1056,10067,662,9405,10067,1665,8402,10067,8660,983,424,10067,10067,50,97.3,51.6,73,4.2,8.7
